#,Date-time,Nest,Ambient
5143,09/10/11 08:59:44 PM,36.796,21.103
5144,09/10/11 09:00:44 PM,36.851,21.079
5145,09/10/11 09:01:44 PM,36.742,21.079
5146,09/10/11 09:02:44 PM,36.824,21.079
5147,09/10/11 09:03:44 PM,36.769,21.032
5148,09/10/11 09:04:44 PM,36.362,21.056
5149,09/10/11 09:05:44 PM,36.065,21.079
5150,09/10/11 09:06:44 PM,36.173,21.175
5151,09/10/11 09:07:44 PM,36.362,21.127
5152,09/10/11 09:08:44 PM,36.335,21.056
5153,09/10/11 09:09:44 PM,36.362,21.127
5154,09/10/11 09:10:44 PM,36.444,21.103
5155,09/10/11 09:11:44 PM,36.471,21.127
5156,09/10/11 09:12:44 PM,36.525,21.103
5157,09/10/11 09:13:44 PM,36.525,21.223
5158,09/10/11 09:14:44 PM,36.525,21.223
5159,09/10/11 09:15:44 PM,36.498,21.199
5160,09/10/11 09:16:44 PM,36.525,21.127
5161,09/10/11 09:17:44 PM,36.525,21.079
5162,09/10/11 09:18:44 PM,36.552,21.151
5163,09/10/11 09:19:44 PM,36.579,21.032
5164,09/10/11 09:20:44 PM,36.606,21.103
5165,09/10/11 09:21:44 PM,36.633,21.103
5166,09/10/11 09:22:44 PM,36.606,21.103
5167,09/10/11 09:23:44 PM,36.552,21.199
5168,09/10/11 09:24:44 PM,36.606,21.246
5169,09/10/11 09:25:44 PM,36.633,21.366
5170,09/10/11 09:26:44 PM,36.606,21.342
5171,09/10/11 09:27:44 PM,35.985,21.175
5172,09/10/11 09:28:44 PM,36.039,21.175
5173,09/10/11 09:29:44 PM,36.039,21.151
5174,09/10/11 09:30:44 PM,36.119,21.223
5175,09/10/11 09:31:44 PM,36.065,21.127
5176,09/10/11 09:32:44 PM,36.012,21.199
5177,09/10/11 09:33:44 PM,36.119,21.127
5178,09/10/11 09:34:44 PM,36.146,21.151
5179,09/10/11 09:35:44 PM,36.119,21.199
5180,09/10/11 09:36:44 PM,36.173,21.103
5181,09/10/11 09:37:44 PM,36.173,21.079
5182,09/10/11 09:38:44 PM,36.119,21.103
5183,09/10/11 09:39:44 PM,36.254,21.103
5184,09/10/11 09:40:44 PM,36.173,21.103
5185,09/10/11 09:41:44 PM,36.039,21.223
5186,09/10/11 09:42:44 PM,36.498,21.199
5187,09/10/11 09:43:44 PM,36.525,21.199
5188,09/10/11 09:44:44 PM,36.335,20.96
5189,09/10/11 09:45:44 PM,36.552,20.984
5190,09/10/11 09:46:44 PM,36.227,20.936
5191,09/10/11 09:47:44 PM,36.471,20.936
5192,09/10/11 09:48:44 PM,36.498,20.96
5193,09/10/11 09:49:44 PM,36.579,21.008
5194,09/10/11 09:50:44 PM,36.661,20.984
5195,09/10/11 09:51:44 PM,36.525,20.913
5196,09/10/11 09:52:44 PM,36.498,20.936
5197,09/10/11 09:53:44 PM,36.471,20.936
5198,09/10/11 09:54:44 PM,36.389,20.913
5199,09/10/11 09:55:44 PM,35.662,21.103
5200,09/10/11 09:56:44 PM,35.958,21.151
5201,09/10/11 09:57:44 PM,36.119,20.865
5202,09/10/11 09:58:44 PM,36.039,20.96
5203,09/10/11 09:59:44 PM,36.227,20.817
5204,09/10/11 10:00:44 PM,36.227,20.889
5205,09/10/11 10:01:44 PM,36.335,20.841
5206,09/10/11 10:02:44 PM,36.308,20.865
5207,09/10/11 10:03:44 PM,36.281,20.913
5208,09/10/11 10:04:44 PM,36.362,20.936
5209,09/10/11 10:05:44 PM,36.308,20.913
5210,09/10/11 10:06:44 PM,36.335,20.913
5211,09/10/11 10:07:44 PM,36.498,20.913
5212,09/10/11 10:08:44 PM,36.661,20.841
5213,09/10/11 10:09:44 PM,36.389,21.008
5214,09/10/11 10:10:44 PM,36.308,20.889
5215,09/10/11 10:11:44 PM,36.633,20.865
5216,09/10/11 10:12:44 PM,36.769,20.913
5217,09/10/11 10:13:44 PM,36.769,20.96
5218,09/10/11 10:14:44 PM,36.824,20.984
5219,09/10/11 10:15:44 PM,36.905,20.936
5220,09/10/11 10:16:44 PM,36.824,20.96
5221,09/10/11 10:17:44 PM,36.878,20.865
5222,09/10/11 10:18:44 PM,36.878,20.96
5223,09/10/11 10:19:44 PM,36.905,21.032
5224,09/10/11 10:20:44 PM,36.824,20.889
5225,09/10/11 10:21:44 PM,36.905,21.056
5226,09/10/11 10:22:44 PM,36.878,20.889
5227,09/10/11 10:23:44 PM,36.851,20.889
5228,09/10/11 10:24:44 PM,36.851,20.913
5229,09/10/11 10:25:44 PM,36.905,21.008
5230,09/10/11 10:26:44 PM,36.688,21.032
5231,09/10/11 10:27:44 PM,36.389,21.056
5232,09/10/11 10:28:44 PM,36.471,21.032
5233,09/10/11 10:29:44 PM,36.389,20.913
5234,09/10/11 10:30:44 PM,36.688,20.96
5235,09/10/11 10:31:44 PM,36.606,21.032
5236,09/10/11 10:32:44 PM,36.389,21.056
5237,09/10/11 10:33:44 PM,36.444,21.079
5238,09/10/11 10:34:44 PM,36.606,21.079
5239,09/10/11 10:35:44 PM,36.606,20.984
5240,09/10/11 10:36:44 PM,36.281,20.936
5241,09/10/11 10:37:44 PM,36.254,20.889
5242,09/10/11 10:38:44 PM,36.281,21.008
5243,09/10/11 10:39:44 PM,36.173,20.936
5244,09/10/11 10:40:44 PM,36.2,20.936
5245,09/10/11 10:41:44 PM,36.471,20.913
5246,09/10/11 10:42:44 PM,36.552,20.936
5247,09/10/11 10:43:44 PM,36.552,20.913
5248,09/10/11 10:44:44 PM,36.065,20.865
5249,09/10/11 10:45:44 PM,36.065,20.936
5250,09/10/11 10:46:44 PM,36.173,21.032
5251,09/10/11 10:47:44 PM,36.092,20.865
5252,09/10/11 10:48:44 PM,36.092,20.913
5253,09/10/11 10:49:44 PM,36.119,20.936
5254,09/10/11 10:50:44 PM,36.092,21.032
5255,09/10/11 10:51:44 PM,36.2,21.079
5256,09/10/11 10:52:44 PM,36.281,21.056
5257,09/10/11 10:53:44 PM,36.173,21.032
5258,09/10/11 10:54:44 PM,36.227,21.056
5259,09/10/11 10:55:44 PM,36.173,20.936
5260,09/10/11 10:56:44 PM,35.958,21.079
5261,09/10/11 10:57:44 PM,36.119,21.008
5262,09/10/11 10:58:44 PM,36.146,21.056
5263,09/10/11 10:59:44 PM,36.417,21.151
5264,09/10/11 11:00:44 PM,36.552,20.96
5265,09/10/11 11:01:44 PM,36.606,21.079
5266,09/10/11 11:02:44 PM,36.444,20.984
5267,09/10/11 11:03:44 PM,36.444,21.008
5268,09/10/11 11:04:44 PM,36.471,20.984
5269,09/10/11 11:05:44 PM,36.525,21.079
5270,09/10/11 11:06:44 PM,36.389,21.103
5271,09/10/11 11:07:44 PM,36.335,21.079
5272,09/10/11 11:08:44 PM,35.985,21.079
5273,09/10/11 11:09:44 PM,36.2,21.103
5274,09/10/11 11:10:44 PM,36.2,21.175
5275,09/10/11 11:11:44 PM,35.931,20.984
5276,09/10/11 11:12:44 PM,36.173,21.151
5277,09/10/11 11:13:44 PM,36.579,21.032
5278,09/10/11 11:14:44 PM,36.688,21.127
5279,09/10/11 11:15:44 PM,36.715,21.032
5280,09/10/11 11:16:44 PM,36.444,21.032
5281,09/10/11 11:17:44 PM,36.552,21.103
5282,09/10/11 11:18:44 PM,36.525,20.984
5283,09/10/11 11:19:44 PM,36.688,21.008
5284,09/10/11 11:20:44 PM,36.661,21.103
5285,09/10/11 11:21:44 PM,36.796,20.889
5286,09/10/11 11:22:44 PM,36.878,21.079
5287,09/10/11 11:23:44 PM,36.769,20.936
5288,09/10/11 11:24:44 PM,36.688,21.032
5289,09/10/11 11:25:44 PM,37.206,21.032
5290,09/10/11 11:26:44 PM,37.206,21.079
5291,09/10/11 11:27:44 PM,37.343,21.008
5292,09/10/11 11:28:44 PM,37.398,21.127
5293,09/10/11 11:29:44 PM,37.37,21.032
5294,09/10/11 11:30:44 PM,37.343,21.008
5295,09/10/11 11:31:44 PM,37.37,21.103
5296,09/10/11 11:32:44 PM,37.398,20.96
5297,09/10/11 11:33:44 PM,37.425,20.96
5298,09/10/11 11:34:44 PM,37.37,21.056
5299,09/10/11 11:35:44 PM,37.453,21.056
5300,09/10/11 11:36:44 PM,37.453,20.96
5301,09/10/11 11:37:44 PM,37.453,20.913
5302,09/10/11 11:38:44 PM,37.453,20.913
5303,09/10/11 11:39:44 PM,37.425,20.865
5304,09/10/11 11:40:44 PM,37.425,21.008
5305,09/10/11 11:41:44 PM,37.425,21.008
5306,09/10/11 11:42:44 PM,37.398,20.96
5307,09/10/11 11:43:44 PM,37.37,20.984
5308,09/10/11 11:44:44 PM,37.151,21.008
5309,09/10/11 11:45:44 PM,36.987,20.96
5310,09/10/11 11:46:44 PM,37.096,21.008
5311,09/10/11 11:47:44 PM,37.096,20.746
5312,09/10/11 11:48:44 PM,37.015,20.698
5313,09/10/11 11:49:44 PM,36.525,20.722
5314,09/10/11 11:50:44 PM,36.661,20.77
5315,09/10/11 11:51:44 PM,36.471,20.722
5316,09/10/11 11:52:44 PM,36.389,20.841
5317,09/10/11 11:53:44 PM,36.308,20.913
5318,09/10/11 11:54:44 PM,36.417,20.865
5319,09/10/11 11:55:44 PM,36.389,20.889
5320,09/10/11 11:56:44 PM,36.444,20.77
5321,09/10/11 11:57:44 PM,35.985,20.722
5322,09/10/11 11:58:44 PM,36.335,20.889
5323,09/10/11 11:59:44 PM,36.417,20.96
5324,09/11/11 12:00:44 AM,36.579,20.889
5325,09/11/11 12:01:44 AM,36.606,20.889
5326,09/11/11 12:02:44 AM,36.254,20.817
5327,09/11/11 12:03:44 AM,36.119,20.65
5328,09/11/11 12:04:44 AM,36.119,20.793
5329,09/11/11 12:05:44 AM,35.958,20.746
5330,09/11/11 12:06:44 AM,35.958,20.77
5331,09/11/11 12:07:44 AM,36.039,20.77
5332,09/11/11 12:08:44 AM,35.904,20.579
5333,09/11/11 12:09:44 AM,35.985,20.77
5334,09/11/11 12:10:44 AM,35.877,20.603
5335,09/11/11 12:11:44 AM,35.85,20.65
5336,09/11/11 12:12:44 AM,35.985,20.746
5337,09/11/11 12:13:44 AM,35.958,20.627
5338,09/11/11 12:14:44 AM,35.985,20.674
5339,09/11/11 12:15:44 AM,36.227,20.841
5340,09/11/11 12:16:44 AM,36.335,20.865
5341,09/11/11 12:17:44 AM,36.444,20.793
5342,09/11/11 12:18:44 AM,36.444,20.77
5343,09/11/11 12:19:44 AM,36.471,20.817
5344,09/11/11 12:20:44 AM,36.498,20.698
5345,09/11/11 12:21:44 AM,36.498,20.579
5346,09/11/11 12:22:44 AM,36.281,20.674
5347,09/11/11 12:23:44 AM,36.905,20.65
5348,09/11/11 12:24:44 AM,36.933,20.722
5349,09/11/11 12:25:44 AM,36.851,20.579
5350,09/11/11 12:26:44 AM,36.878,20.436
5351,09/11/11 12:27:44 AM,36.905,20.436
5352,09/11/11 12:28:44 AM,35.958,20.531
5353,09/11/11 12:29:44 AM,36.146,20.484
5354,09/11/11 12:30:44 AM,35.985,20.531
5355,09/11/11 12:31:44 AM,35.85,20.531
5356,09/11/11 12:32:44 AM,35.823,20.579
5357,09/11/11 12:33:44 AM,36.552,20.555
5358,09/11/11 12:34:44 AM,36.552,20.507
5359,09/11/11 12:35:44 AM,36.715,20.674
5360,09/11/11 12:36:44 AM,36.769,20.603
5361,09/11/11 12:37:44 AM,36.769,20.674
5362,09/11/11 12:38:44 AM,36.796,20.627
5363,09/11/11 12:39:44 AM,36.552,20.627
5364,09/11/11 12:40:44 AM,35.823,20.698
5365,09/11/11 12:41:44 AM,36.444,20.603
5366,09/11/11 12:42:44 AM,36.661,20.698
5367,09/11/11 12:43:44 AM,36.688,20.627
5368,09/11/11 12:44:44 AM,36.606,20.698
5369,09/11/11 12:45:44 AM,36.661,20.722
5370,09/11/11 12:46:44 AM,36.552,20.698
5371,09/11/11 12:47:44 AM,36.525,20.722
5372,09/11/11 12:48:44 AM,36.498,20.77
5373,09/11/11 12:49:44 AM,36.498,20.674
5374,09/11/11 12:50:44 AM,36.389,20.722
5375,09/11/11 12:51:44 AM,36.471,20.627
5376,09/11/11 12:52:44 AM,36.525,20.793
5377,09/11/11 12:53:44 AM,36.552,20.746
5378,09/11/11 12:54:44 AM,36.606,20.698
5379,09/11/11 12:55:44 AM,36.661,20.793
5380,09/11/11 12:56:44 AM,36.661,20.817
5381,09/11/11 12:57:44 AM,36.661,20.746
5382,09/11/11 12:58:44 AM,36.606,20.65
5383,09/11/11 12:59:44 AM,36.471,20.793
5384,09/11/11 01:00:44 AM,36.417,20.674
5385,09/11/11 01:01:44 AM,36.525,20.722
5386,09/11/11 01:02:44 AM,36.661,20.579
5387,09/11/11 01:03:44 AM,36.688,20.579
5388,09/11/11 01:04:44 AM,36.715,20.722
5389,09/11/11 01:05:44 AM,36.661,20.579
5390,09/11/11 01:06:44 AM,36.715,20.627
5391,09/11/11 01:07:44 AM,36.796,20.579
5392,09/11/11 01:08:44 AM,36.851,20.746
5393,09/11/11 01:09:44 AM,36.824,20.698
5394,09/11/11 01:10:44 AM,36.824,20.627
5395,09/11/11 01:11:44 AM,36.715,20.627
5396,09/11/11 01:12:44 AM,36.688,20.698
5397,09/11/11 01:13:44 AM,36.661,20.674
5398,09/11/11 01:14:44 AM,36.065,20.77
5399,09/11/11 01:15:44 AM,35.877,20.65
5400,09/11/11 01:16:44 AM,36.254,20.65
5401,09/11/11 01:17:44 AM,36.227,20.65
5402,09/11/11 01:18:44 AM,36.389,20.674
5403,09/11/11 01:19:44 AM,36.362,20.674
5404,09/11/11 01:20:44 AM,36.552,20.627
5405,09/11/11 01:21:44 AM,36.905,20.603
5406,09/11/11 01:22:44 AM,36.851,20.674
5407,09/11/11 01:23:44 AM,36.878,20.627
5408,09/11/11 01:24:44 AM,36.878,20.627
5409,09/11/11 01:25:44 AM,36.905,20.722
